,timestamp,date,day number,weekends,activity number,segment,activity count
0,1570557600,2019-10-09 00:00:00,3,1,0,0,0
1,1570561200,2019-10-09 01:00:00,3,1,0,0,0
2,1570564800,2019-10-09 02:00:00,3,1,0,0,0
3,1570568400,2019-10-09 03:00:00,3,1,0,0,0
4,1570572000,2019-10-09 04:00:00,3,1,0,0,0
5,1570575600,2019-10-09 05:00:00,3,1,0,0,0
6,1570579200,2019-10-09 06:00:00,3,1,0,1,0
7,1570582800,2019-10-09 07:00:00,3,1,0,1,0
8,1570586400,2019-10-09 08:00:00,3,1,0,1,0
9,1570590000,2019-10-09 09:00:00,3,1,0,1,0
10,1570593600,2019-10-09 10:00:00,3,1,0,1,0
11,1570597200,2019-10-09 11:00:00,3,1,0,1,0
12,1570600800,2019-10-09 12:00:00,3,1,0,2,0
13,1570604400,2019-10-09 13:00:00,3,1,0,2,0
14,1570608000,2019-10-09 14:00:00,3,1,0,2,0
15,1570611600,2019-10-09 15:00:00,3,1,0,2,0
16,1570615200,2019-10-09 16:00:00,3,1,0,2,0
17,1570618800,2019-10-09 17:00:00,3,1,0,2,0
18,1570622400,2019-10-09 18:00:00,3,1,0,3,0
19,1570626000,2019-10-09 19:00:00,3,1,0,3,0
20,1570629600,2019-10-09 20:00:00,3,1,0,3,0
21,1570633200,2019-10-09 21:00:00,3,1,0,3,0
22,1570636800,2019-10-09 22:00:00,3,1,0,3,0
23,1570640400,2019-10-09 23:00:00,3,1,0,3,0
24,1570557600,2019-10-09 00:00:00,3,1,0,0,0
25,1570561200,2019-10-09 01:00:00,3,1,0,0,0
26,1570564800,2019-10-09 02:00:00,3,1,0,0,0
27,1570568400,2019-10-09 03:00:00,3,1,0,0,0
28,1570572000,2019-10-09 04:00:00,3,1,0,0,0
29,1570575600,2019-10-09 05:00:00,3,1,0,0,0
30,1570579200,2019-10-09 06:00:00,3,1,0,1,0
31,1570582800,2019-10-09 07:00:00,3,1,0,1,0
32,1570586400,2019-10-09 08:00:00,3,1,0,1,0
33,1570590000,2019-10-09 09:00:00,3,1,0,1,0
34,1570593600,2019-10-09 10:00:00,3,1,0,1,0
35,1570597200,2019-10-09 11:00:00,3,1,0,1,0
36,1570600800,2019-10-09 12:00:00,3,1,0,2,0
37,1570604400,2019-10-09 13:00:00,3,1,0,2,0
38,1570608000,2019-10-09 14:00:00,3,1,0,2,0
39,1570611600,2019-10-09 15:00:00,3,1,0,2,0
40,1570615200,2019-10-09 16:00:00,3,1,0,2,0
41,1570618800,2019-10-09 17:00:00,3,1,0,2,0
42,1570622400,2019-10-09 18:00:00,3,1,0,3,0
43,1570626000,2019-10-09 19:00:00,3,1,0,3,0
44,1570629600,2019-10-09 20:00:00,3,1,0,3,0
45,1570633200,2019-10-09 21:00:00,3,1,0,3,0
46,1570636800,2019-10-09 22:00:00,3,1,0,3,0
47,1570640400,2019-10-09 23:00:00,3,1,0,3,0
48,1570557600,2019-10-09 00:00:00,3,1,0,0,0
49,1570561200,2019-10-09 01:00:00,3,1,0,0,0
50,1570564800,2019-10-09 02:00:00,3,1,0,0,0
51,1570568400,2019-10-09 03:00:00,3,1,0,0,0
52,1570572000,2019-10-09 04:00:00,3,1,0,0,0
53,1570575600,2019-10-09 05:00:00,3,1,0,0,0
54,1570579200,2019-10-09 06:00:00,3,1,0,1,0
55,1570582800,2019-10-09 07:00:00,3,1,0,1,0
56,1570586400,2019-10-09 08:00:00,3,1,0,1,0
57,1570590000,2019-10-09 09:00:00,3,1,0,1,0
58,1570593600,2019-10-09 10:00:00,3,1,0,1,0
59,1570597200,2019-10-09 11:00:00,3,1,0,1,0
60,1570600800,2019-10-09 12:00:00,3,1,0,2,0
61,1570604400,2019-10-09 13:00:00,3,1,0,2,0
62,1570608000,2019-10-09 14:00:00,3,1,0,2,1589
63,1570611600,2019-10-09 15:00:00,3,1,0,2,0
64,1570615200,2019-10-09 16:00:00,3,1,0,2,0
65,1570618800,2019-10-09 17:00:00,3,1,0,2,0
66,1570622400,2019-10-09 18:00:00,3,1,0,3,0
67,1570626000,2019-10-09 19:00:00,3,1,0,3,0
