,timestamp,date,day number,weekends,activity number,activity count
0,1444068000,2015-10-06 00:00:00,6,1,1,0
1,1444071600,2015-10-06 01:00:00,6,1,1,0
2,1444075200,2015-10-06 02:00:00,6,1,1,0
3,1444078800,2015-10-06 03:00:00,6,1,1,0
4,1444082400,2015-10-06 04:00:00,6,1,1,0
5,1444086000,2015-10-06 05:00:00,6,1,1,0
6,1444089600,2015-10-06 06:00:00,6,1,1,0
7,1444093200,2015-10-06 07:00:00,6,1,1,0
8,1444096800,2015-10-06 08:00:00,6,1,1,0
9,1444100400,2015-10-06 09:00:00,6,1,1,0
10,1444104000,2015-10-06 10:00:00,6,1,1,0
11,1444107600,2015-10-06 11:00:00,6,1,1,0
12,1444111200,2015-10-06 12:00:00,6,1,1,0
13,1444114800,2015-10-06 13:00:00,6,1,1,0
14,1444118400,2015-10-06 14:00:00,6,1,1,0
15,1444122000,2015-10-06 15:00:00,6,1,1,0
16,1444125600,2015-10-06 16:00:00,6,1,1,0
17,1444129200,2015-10-06 17:00:00,6,1,1,0
18,1444132800,2015-10-06 18:00:00,6,1,1,0
19,1444136400,2015-10-06 19:00:00,6,1,1,0
20,1444140000,2015-10-06 20:00:00,6,1,1,0
21,1444143600,2015-10-06 21:00:00,6,1,1,25
22,1444147200,2015-10-06 22:00:00,6,1,1,0
23,1444150800,2015-10-06 23:00:00,6,1,1,0
24,1444068000,2015-10-06 00:00:00,6,1,0,0
25,1444071600,2015-10-06 01:00:00,6,1,0,0
26,1444075200,2015-10-06 02:00:00,6,1,0,0
27,1444078800,2015-10-06 03:00:00,6,1,0,0
28,1444082400,2015-10-06 04:00:00,6,1,0,0
29,1444086000,2015-10-06 05:00:00,6,1,0,19
30,1444089600,2015-10-06 06:00:00,6,1,0,3
31,1444093200,2015-10-06 07:00:00,6,1,0,0
32,1444096800,2015-10-06 08:00:00,6,1,0,0
33,1444100400,2015-10-06 09:00:00,6,1,0,0
34,1444104000,2015-10-06 10:00:00,6,1,0,0
35,1444107600,2015-10-06 11:00:00,6,1,0,0
36,1444111200,2015-10-06 12:00:00,6,1,0,0
37,1444114800,2015-10-06 13:00:00,6,1,0,0
38,1444118400,2015-10-06 14:00:00,6,1,0,0
39,1444122000,2015-10-06 15:00:00,6,1,0,0
40,1444125600,2015-10-06 16:00:00,6,1,0,0
41,1444129200,2015-10-06 17:00:00,6,1,0,0
42,1444132800,2015-10-06 18:00:00,6,1,0,0
43,1444136400,2015-10-06 19:00:00,6,1,0,0
44,1444140000,2015-10-06 20:00:00,6,1,0,0
45,1444143600,2015-10-06 21:00:00,6,1,0,19
46,1444147200,2015-10-06 22:00:00,6,1,0,0
47,1444150800,2015-10-06 23:00:00,6,1,0,18
48,1444068000,2015-10-06 00:00:00,6,1,2,0
49,1444071600,2015-10-06 01:00:00,6,1,2,0
50,1444075200,2015-10-06 02:00:00,6,1,2,0
51,1444078800,2015-10-06 03:00:00,6,1,2,54
52,1444082400,2015-10-06 04:00:00,6,1,2,60
53,1444086000,2015-10-06 05:00:00,6,1,2,41
54,1444089600,2015-10-06 06:00:00,6,1,2,0
55,1444093200,2015-10-06 07:00:00,6,1,2,54
56,1444096800,2015-10-06 08:00:00,6,1,2,60
57,1444100400,2015-10-06 09:00:00,6,1,2,60
58,1444104000,2015-10-06 10:00:00,6,1,2,60
59,1444107600,2015-10-06 11:00:00,6,1,2,60
60,1444111200,2015-10-06 12:00:00,6,1,2,27
61,1444114800,2015-10-06 13:00:00,6,1,2,0
62,1444118400,2015-10-06 14:00:00,6,1,2,0
63,1444122000,2015-10-06 15:00:00,6,1,2,0
64,1444125600,2015-10-06 16:00:00,6,1,2,0
65,1444129200,2015-10-06 17:00:00,6,1,2,0
66,1444132800,2015-10-06 18:00:00,6,1,2,0
67,1444136400,2015-10-06 19:00:00,6,1,2,0
68,1444140000,2015-10-06 20:00:00,6,1,2,1
69,1444143600,2015-10-06 21:00:00,6,1,2,5
70,1444147200,2015-10-06 22:00:00,6,1,2,60
71,1444150800,2015-10-06 23:00:00,6,1,2,40
72,1444068000,2015-10-06 00:00:00,6,1,3,0
73,1444071600,2015-10-06 01:00:00,6,1,3,0
74,1444075200,2015-10-06 02:00:00,6,1,3,0
75,1444078800,2015-10-06 03:00:00,6,1,3,0
76,1444082400,2015-10-06 04:00:00,6,1,3,0
77,1444086000,2015-10-06 05:00:00,6,1,3,0
78,1444089600,2015-10-06 06:00:00,6,1,3,0
79,1444093200,2015-10-06 07:00:00,6,1,3,0
80,1444096800,2015-10-06 08:00:00,6,1,3,0
81,1444100400,2015-10-06 09:00:00,6,1,3,0
82,1444104000,2015-10-06 10:00:00,6,1,3,0
83,1444107600,2015-10-06 11:00:00,6,1,3,0
84,1444111200,2015-10-06 12:00:00,6,1,3,0
85,1444114800,2015-10-06 13:00:00,6,1,3,0
86,1444118400,2015-10-06 14:00:00,6,1,3,0
87,1444122000,2015-10-06 15:00:00,6,1,3,0
88,1444125600,2015-10-06 16:00:00,6,1,3,0
89,1444129200,2015-10-06 17:00:00,6,1,3,0
90,1444132800,2015-10-06 18:00:00,6,1,3,0
