timestamp,raw_acc:magnitude_stats:mean,raw_acc:magnitude_stats:std,raw_acc:magnitude_stats:moment3,raw_acc:magnitude_stats:moment4,raw_acc:magnitude_stats:percentile25,raw_acc:magnitude_stats:percentile50,raw_acc:magnitude_stats:percentile75,raw_acc:magnitude_stats:value_entropy,raw_acc:magnitude_stats:time_entropy,raw_acc:magnitude_spectrum:log_energy_band0,raw_acc:magnitude_spectrum:log_energy_band1,raw_acc:magnitude_spectrum:log_energy_band2,raw_acc:magnitude_spectrum:log_energy_band3,raw_acc:magnitude_spectrum:log_energy_band4,raw_acc:magnitude_spectrum:spectral_entropy,raw_acc:magnitude_autocorrelation:period,raw_acc:magnitude_autocorrelation:normalized_ac,raw_acc:3d:mean_x,raw_acc:3d:mean_y,raw_acc:3d:mean_z,raw_acc:3d:std_x,raw_acc:3d:std_y,raw_acc:3d:std_z,raw_acc:3d:ro_xy,raw_acc:3d:ro_xz,raw_acc:3d:ro_yz,proc_gyro:magnitude_stats:mean,proc_gyro:magnitude_stats:std,proc_gyro:magnitude_stats:moment3,proc_gyro:magnitude_stats:moment4,proc_gyro:magnitude_stats:percentile25,proc_gyro:magnitude_stats:percentile50,proc_gyro:magnitude_stats:percentile75,proc_gyro:magnitude_stats:value_entropy,proc_gyro:magnitude_stats:time_entropy,proc_gyro:magnitude_spectrum:log_energy_band0,proc_gyro:magnitude_spectrum:log_energy_band1,proc_gyro:magnitude_spectrum:log_energy_band2,proc_gyro:magnitude_spectrum:log_energy_band3,proc_gyro:magnitude_spectrum:log_energy_band4,proc_gyro:magnitude_spectrum:spectral_entropy,proc_gyro:magnitude_autocorrelation:period,proc_gyro:magnitude_autocorrelation:normalized_ac,proc_gyro:3d:mean_x,proc_gyro:3d:mean_y,proc_gyro:3d:mean_z,proc_gyro:3d:std_x,proc_gyro:3d:std_y,proc_gyro:3d:std_z,proc_gyro:3d:ro_xy,proc_gyro:3d:ro_xz,proc_gyro:3d:ro_yz,raw_magnet:magnitude_stats:mean,raw_magnet:magnitude_stats:std,raw_magnet:magnitude_stats:moment3,raw_magnet:magnitude_stats:moment4,raw_magnet:magnitude_stats:percentile25,raw_magnet:magnitude_stats:percentile50,raw_magnet:magnitude_stats:percentile75,raw_magnet:magnitude_stats:value_entropy,raw_magnet:magnitude_stats:time_entropy,raw_magnet:magnitude_spectrum:log_energy_band0,raw_magnet:magnitude_spectrum:log_energy_band1,raw_magnet:magnitude_spectrum:log_energy_band2,raw_magnet:magnitude_spectrum:log_energy_band3,raw_magnet:magnitude_spectrum:log_energy_band4,raw_magnet:magnitude_spectrum:spectral_entropy,raw_magnet:magnitude_autocorrelation:period,raw_magnet:magnitude_autocorrelation:normalized_ac,raw_magnet:3d:mean_x,raw_magnet:3d:mean_y,raw_magnet:3d:mean_z,raw_magnet:3d:std_x,raw_magnet:3d:std_y,raw_magnet:3d:std_z,raw_magnet:3d:ro_xy,raw_magnet:3d:ro_xz,raw_magnet:3d:ro_yz,raw_magnet:avr_cosine_similarity_lag_range0,raw_magnet:avr_cosine_similarity_lag_range1,raw_magnet:avr_cosine_similarity_lag_range2,raw_magnet:avr_cosine_similarity_lag_range3,raw_magnet:avr_cosine_similarity_lag_range4,location:log_latitude_range,location:log_longitude_range,location:min_altitude,location:max_altitude,location:min_speed,location:max_speed,location:best_horizontal_accuracy,location:best_vertical_accuracy,location:diameter,location:log_diameter,location_quick_features:std_lat,location_quick_features:std_long,location_quick_features:lat_change,location_quick_features:long_change,location_quick_features:mean_abs_lat_deriv,location_quick_features:mean_abs_long_deriv,label:LYING_DOWN,label:SITTING,label:FIX_walking,label:FIX_running,label:BICYCLING,label:SLEEPING,label:IN_A_CAR,label:ON_A_BUS,label:DRIVE_-_I_M_THE_DRIVER,label:DRIVE_-_I_M_A_PASSENGER,label:OR_exercise,label:STROLLING,label:AT_THE_GYM,label:STAIRS_-_GOING_UP,label:STAIRS_-_GOING_DOWN
1444079161,0.996815,0.003529,-0.002786,0.006496,0.995203,0.996825,0.998502,1.748756,6.684605,5.04397,0.000042,0.000364,0.000761,0.005429,0.429853,0.173685,0.148988,0.002331,0.004614,-0.99679,0.003269,0.003521,0.003539,0.10692,0.516842,0.255494,0.002558,0.00151,0.001832,0.002531,0.001526,0.002196,0.00323,2.236059,6.532865,5.149616,2.818909,3.757026,2.952941,4.31293,1.76692,4.193949,0.107787,0.000412,0.000448,-0.000541,0.001705,0.001987,0.001144,-0.372543,0.175125,-0.033004,618.751929,0.784768,-0.313058,1.038986,618.243941,618.796487,619.260475,2.594321,6.684611,5.043589,0.000015,0.000103,0.00007,0.000684,0.429649,2.430594,0.131063,223.246192,97.503453,-568.776302,1.009838,0.827983,0.769873,-0.069913,0.046582,0.021992,0.999996,0.999996,0.999996,0.999996,0.999995,0.064895,0.070473,108.230255,108.239944,nan,nan,65,10,10.102999,2.312832,0.000029,0.000032,-0.000067,-0.000073,0.000111,0.00012,0,1,0,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan
1444079221,0.996864,0.004172,-0.00311,0.00705,0.994957,0.996981,0.998766,1.935573,6.684603,5.043367,0.000071,0.000468,0.00063,0.007756,0.429733,0.057819,0.207046,0.003557,0.005495,-0.996832,0.002489,0.003772,0.004177,-0.079483,0.357748,0.036252,0.002279,0.001256,0.001519,0.002183,0.001424,0.002035,0.00288,2.028993,6.55001,4.945471,2.153223,2.719359,3.117012,4.355961,1.455363,1.323078,0.140106,0.000091,-0.000082,0.000002,0.001576,0.001746,0.001105,-0.425875,0.138763,0.047049,618.834334,0.758077,-0.249869,0.993019,618.361085,618.826281,619.335332,2.688999,6.684611,5.043452,0.000032,0.000107,0.000104,0.000666,0.429613,1.481933,0.124108,223.362545,97.553554,-568.811684,0.969197,0.859649,0.758569,-0.067319,0.093911,0.000049,0.999996,0.999996,0.999996,0.999995,0.999996,0.072793,0.061653,108.218773,108.237328,nan,nan,65,10,9.611984,2.263011,0.00003,0.000025,-0.000021,0.000013,0.000044,0.000033,0,1,0,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan
1444079281,0.996825,0.003667,0.003094,0.006076,0.994797,0.996614,0.998704,2.03178,6.684605,5.043599,0.000052,0.000251,0.00073,0.008223,0.429799,0.17344,0.186961,0.00418,0.005776,-0.996785,0.003567,0.004051,0.003681,0.122432,0.464881,0.222375,0.002579,0.00179,0.002418,0.003395,0.00135,0.002088,0.003187,1.975138,6.492197,4.878255,3.366933,3.82489,3.056752,4.501969,1.848755,1.323074,0.1605,0.000011,0.000179,0.000026,0.001714,0.002244,0.00136,-0.506993,0.181114,-0.214371,618.632716,0.755343,-0.359531,0.985042,618.115518,618.632516,619.153564,2.570155,6.684611,5.043541,0.000023,0.000087,0.000076,0.0006,0.429634,0.681743,0.097205,223.252828,97.686277,-568.612604,0.966071,0.895598,0.738005,-0.016681,0.068653,-0.01572,0.999995,0.999996,0.999996,0.999995,0.999996,0.004599,0.004253,108.276825,108.347427,nan,nan,65,10,0.568155,-0.56536,0.000002,0.000002,-0.000005,0.000003,nan,nan,0,1,0,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan
1444079341,0.996874,0.003541,0.000626,0.006059,0.99505,0.996907,0.99869,1.865318,6.684605,5.043263,0.000019,0.000173,0.000623,0.003763,0.429628,0.173474,0.47943,0.004179,0.005551,-0.996836,0.004202,0.002919,0.003559,0.308841,0.773514,0.296194,0.002497,0.001577,0.001944,0.002715,0.001415,0.002106,0.003102,2.094385,6.513228,4.917277,3.325518,3.286417,2.773796,4.546137,1.726047,0.524236,0.091489,-0.000006,-0.00002,0.000042,0.001347,0.002357,0.001164,-0.565952,0.108946,-0.13867,618.757055,0.742001,0.360829,0.975374,618.246868,618.758365,619.250399,2.583234,6.684611,5.043465,0.00003,0.000083,0.000061,0.000636,0.429615,2.431046,0.094555,223.281584,97.712646,-568.731966,1.005736,0.905972,0.731952,-0.059295,0.097724,0.001601,0.999995,0.999995,0.999995,0.999995,0.999995,0.017508,0.010553,108.392548,108.45105,nan,nan,65,10,2.097436,0.740716,0.000006,0.000003,0.000007,0.000004,nan,nan,0,1,0,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan
1444079431,0.997371,0.037653,0.043389,0.102332,0.995548,0.99686,0.998205,0.460806,6.683904,5.042779,0.000858,0.006035,0.014974,0.023291,0.430164,0.260603,0.202305,-0.008383,-0.000009,-0.994184,0.074612,0.023784,0.039512,-0.187758,-0.204381,0.062696,0.105566,0.340573,0.582097,0.825209,0.001867,0.003018,0.006146,0.665061,4.638178,6.291532,3.912588,3.541116,4.298033,4.82468,3.425678,0,0,-0.001074,-0.000934,0.00693,0.099609,0.322466,0.114795,-0.318971,0.097856,-0.353731,613.681143,10.944928,14.981543,20.677301,611.54155,612.157212,612.81678,0.850733,6.684455,5.041911,0.0002,0.000289,0.000118,0.000631,0.429287,9.012262,0.003421,86.943267,97.073641,-599.63413,7.469601,3.080962,10.748761,-0.190978,-0.585623,0.532324,0.999971,0.999911,0.999883,0.999875,0.999645,0.033513,0.037707,108.025627,108.355423,nan,nan,65,10,5.015308,1.612495,0.000011,0.000011,0.000002,-0.000008,nan,nan,0,1,0,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan
1444079492,0.99712,0.004826,0.00418,0.010985,0.995599,0.997075,0.998728,1.274992,6.6846,5.043153,0.000026,0.00015,0.000133,0.01293,0.429746,9.141139,0.129479,0.008818,-0.003789,-0.997054,0.005016,0.003752,0.004832,0.105952,-0.018206,0.341005,0.003592,0.002733,0.003705,0.005179,0.001808,0.002827,0.004604,1.968841,6.455371,4.977139,3.510559,3.531287,2.681685,4.565526,1.882895,5.591439,0.094153,-0.000067,-0.000093,-0.000549,0.00272,0.003046,0.001838,-0.352214,0.011116,0.055567,612.410648,0.73269,0.29446,0.960752,611.937142,612.382118,612.901958,2.567524,6.684611,5.043291,0.000021,0.000062,0.000111,0.000594,0.429568,0.533651,0.103942,88.097293,97.946229,-598.072823,0.753366,0.731323,0.733605,0.012408,0.009736,0.00374,0.999997,0.999997,0.999997,0.999997,0.999997,0.069037,0.05153,108.051674,108.121132,nan,nan,65,10,9.356803,2.236104,0.000023,0.000019,0.000033,0.000003,0.000009,0.000022,0,1,0,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan
1444079552,0.997139,0.003505,-0.006299,0.010597,0.995829,0.99732,0.998582,1.131903,6.684606,5.043516,0.000076,0.000254,0.000385,0.004759,0.429714,0.260181,0.131338,0.009501,-0.003458,-0.997075,0.00453,0.002294,0.003509,0.015898,0.009529,0.434333,0.003241,0.002144,0.002467,0.003303,0.001767,0.002671,0.004097,2.419821,6.491532,4.978223,3.051656,3.210473,2.890302,4.607866,1.75962,2.595999,0.136523,-0.000202,0.000276,0.000252,0.0021,0.002888,0.001473,-0.408883,-0.118182,-0.050993,612.63288,0.740678,-0.344124,0.953286,612.132255,612.63759,613.15252,2.618007,6.684611,5.043152,0.000017,0.000085,0.000135,0.00051,0.42953,2.578105,0.099327,88.084242,98.047529,-598.285758,0.734959,0.705937,0.745517,0.033727,-0.011788,0.048857,0.999997,0.999997,0.999997,0.999997,0.999997,0.073358,0.115133,107.939774,108.058121,nan,nan,65,10,14.193937,2.652815,0.000032,0.000048,0.00007,0.000109,0.000008,0.000013,0,1,0,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan
1444079612,0.997163,0.00188,0.001517,0.003076,0.996004,0.997181,0.998264,1.97743,6.68461,5.043233,0.000031,0.000087,0.000055,0.000992,0.42956,0.086724,0.160641,0.012498,-0.003761,-0.99707,0.003213,0.001904,0.001878,0.01909,0.055073,0.490302,0.00273,0.001877,0.002559,0.0038,0.001482,0.002306,0.003439,1.720613,6.491107,4.783282,3.334331,3.053204,2.584261,4.869563,1.850723,3.893994,0.169062,0.000033,0.000018,0,0.002,0.002365,0.001175,-0.524412,0.008613,-0.01061,612.793757,0.709855,-0.306557,0.935067,612.328062,612.76599,613.304751,2.56747,6.684611,5.043412,0.000044,0.000092,0.000083,0.00056,0.4296,10.047355,0.092462,88.14817,98.164211,-598.421959,0.696219,0.751027,0.700638,0.050093,-0.014286,-0.049144,0.999997,0.999997,0.999997,0.999997,0.999997,0.054563,0.056129,108.138893,108.202843,nan,nan,65,10,7.566095,2.023677,0.000022,0.000022,-0.000056,-0.000026,0.000031,0.000035,0,1,0,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan
1444079672,0.997344,0.002113,0.001644,0.003523,0.996092,0.997388,0.998497,1.893195,6.684609,5.043472,0.000073,0.000203,0.000142,0.002476,0.429656,0.086724,0.165943,0.012653,-0.003356,-0.997206,0.009489,0.003891,0.002064,0.331825,0.084646,0.241127,0.009148,0.044677,0.091885,0.135502,0.001883,0.002764,0.004378,0.143094,4.706681,5.592715,5.484225,5.420821,4.388907,4.897537,4.437552,1.04838,0.00898,0.000204,-0.000291,-0.005925,0.002332,0.004495,0.044932,-0.01081,0.00833,-0.166718,612.007422,0.982085,0.574549,1.280059,611.285553,611.915347,612.739045,2.474148,6.68461,5.043017,0.00005,0.00009,0.000093,0.000562,0.429499,7.793805,0.043923,86.701048,95.061483,-598.322632,1.489939,2.749567,0.734633,0.839287,-0.078651,-0.071421,0.999997,0.999996,0.999991,0.999976,0.999952,0.062189,0.089979,108.143066,108.197769,nan,nan,65,10,11.068772,2.404128,0.000027,0.000041,-0.000012,-0.00002,0.00004,0.000056,0,1,0,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan
1444079732,0.997237,0.002037,0.001887,0.003861,0.996093,0.997128,0.998331,1.674702,6.68461,5.04333,0.000028,0.000106,0.000094,0.001259,0.429592,3.177293,0.11623,0.013691,-0.003284,-0.99713,0.003401,0.001629,0.002031,-0.006708,-0.129414,0.322556,0.00313,0.002202,0.002757,0.003789,0.001677,0.002565,0.00384,2.084119,6.476399,5.037429,3.186999,3.298797,2.703831,4.772592,1.927969,2.695831,0.201365,-0.000107,0.00015,0.000448,0.001959,0.003062,0.001094,-0.491386,0.071135,-0.009546,611.357989,0.714031,0.413384,0.969241,610.884091,611.338723,611.823242,2.52233,6.684611,5.043453,0.000037,0.000109,0.00008,0.00053,0.42961,5.126065,0.108073,85.628869,92.797941,-598.175347,0.74061,0.745341,0.699847,0.027525,-0.095373,-0.020731,0.999997,0.999997,0.999997,0.999997,0.999997,0.069296,0.098956,108.093124,108.183708,nan,nan,65,10,11.221391,2.417822,0.000023,0.000034,0.000018,-0.000034,nan,nan,0,1,0,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan
